title,company,job_category,job_area,salary_min,salary_max
Mali,Mohona TV Limited,Security/Support Service,Dhaka,,
Cook,Mohona TV Limited,Security/Support Service,Dhaka,,
গরুর রাখাল/দুধ দোহনকারি,SS Agro,Security/Support Service,Dhaka,,
Office Peon,Mohona TV Limited,Admin/General Management,Dhaka,,
Security Guard,Mohona TV Limited,Security/Support Service,Dhaka,,
Executive Engineer,Bangladesh University of Textile,Engineer,Dhaka,35500.00,67010.00
Estate Officer,Bangladesh University of Textile,Customer Support/Call Center,Dhaka,22000.00,53060.00
Field officer,Riziq Property,Project Management,Anywhere in Bangladesh,,
Chief Medical Officer,Bangladesh University of Textile,Medical/Healthcare Professional,Dhaka,56500.00,74400.00
Medical Assistant,Bangladesh University of Textile,Medical/Healthcare Professional,Dhaka,12500.00,30230.00
Six Months Paid Internship Program,Taxpoint Direct Bangladesh,Others,"Dhaka, Dhaka, Bangladesh",,
Head Technician,Bangladesh University of Engineering and Technology (BUET),Special Skilled Jobs,Dhaka,11000.00,26590.00
Office Assistant Cum Computer Typist,"Customs Excise and VAT Commissionerate, Rangpur",Data Entry/Operator/BPO,Rangpur,9300.00,22490.00
StenoTypist Cum Computer Operator,"Customs Excise and VAT Commissionerate, Rangpur",Data Entry/Operator/BPO,Rangpur,10200.00,24680.00
সেলস এক্সিকিউটিভ,মেসার্স জনতা স্টোর,Marketing/Sales,ঢাকা,,
Upper Division Assistant,"Customs Excise and VAT Commissionerate, Rangpur",Admin/General Management,Rangpur,10200.00,24680.00
Assistant White Wash Mechanic,Bangladesh University of Engineering and Technology (BUET),Others,,8500.00,20570.00
Design Engineer,Dipa Media,Engineer,Anywhere in Bangladesh,,
White Wash Mechanic,Bangladesh University of Engineering and Technology (BUET),Special Skilled Jobs,Dhaka,9000.00,21800.00
Security Guard,"Customs Excise and VAT Commissionerate, Rangpur",Security/Support Service,,8250.00,20010.00
Sepai,"Customs Excise and VAT Commissionerate, Rangpur",Special Skilled Jobs,,9000.00,21800.00
Car Driver,"Customs Excise and VAT Commissionerate, Rangpur",Special Skilled Jobs,,9300.00,22490.00
Driver,DINAJPUR PALLI BIDYUT SAMITY-1,Special Skilled Jobs,,16600.00,41950.00
Gender Advisor-AHP Project,Plan International Bangladesh,Project Management,Cox's Bazar,,
Lecturer (Chemistry),Bangladesh Army University of Science & Technology,Education/Training,,,
সহকারী পরিচালক (আইন/ বোর্ড),Bangladesh Rubber Board,Admin/General Management,,22000.00,53060.00
Technician (Dyeing),Jamuna Group,Others,,,
Technician (Utility),Jamuna Group,Others,,,
"Associate Professor, Forensic Medicine",Ad-din Women's Medical College,Education/Training,,,
"Associate Professor, Microbiology",Ad-din Women's Medical College,Education/Training,,,
"Assistant Professor, Forensic Medicine",Ad-din Women's Medical College,Education/Training,,,
"Assistant Professor, Pharmacology",Ad-Din Women's Medical College Hospital,Education/Training,,,
"Lecturer, Anatomy",Ad-Din Women's Medical College Hospital,Education/Training,,,
"Lecturer, Biochemistry",Ad-Din Women's Medical College Hospital,Education/Training,,,
"Lecturer, Community Medicine",Ad-din Women's Medical College,Medical/Healthcare Professional,,,
"Lecturer, Microbiology",Ad-din Women's Medical College,Medical/Healthcare Professional,,,
"Lecturer, Gynae & Obs",Ad-Din Women's Medical College Hospital,Education/Training,,,
"Lecturer, Paediatrics",Ad-Din Women's Medical College Hospital,Education/Training,,,
"Lecturer, Orthopaedics",Ad-Din Women's Medical College Hospital,Education/Training,,,
Medical Officer (Gynae & Obs),Jahurul Islam Medical College & Hospital,Medical/Healthcare Professional,"Bhagalpur, Bajitpur",,
Senior Web Developer,Fiftytwo Digital Ltd,IT/Software,Nikunja 1,,
Tresser,Public Works Department,Others,,9300.00,22490.00
এক্সিকিউটিভ সেফ,Fruits and Flavors Ltd.,Marketing/Sales,"Dhaka, Dhaka, Bangladesh",,
Stenotypist cum Computer Operator,Public Works Department,Data Entry/Operator/BPO,shegunbagicha,10200.00,24680.00
Accounting Specialist,State of Delaware,Accounts/Finance,United states,,
Principal & Vice - Principal,Amjad Khan Chowdhury Nursing College,Education/Training,,,
Accounts Payable Specialist,TecTesla Technologies Ltd,Accounts/Finance,United states,,
"Assistant Manager, Environment Health & Safety",North-West Power Generation Company Limited,Engineer,,,
Teacher,New model pre -cadet and high school,Education/Training,"Savar, Dhaka",,
Direct Sales Officer (Deployment at Bengal Commercial Bank Limited),Conquest Limited,Marketing/Sales,Dhaka,12000.00,24000.00
স্পিচ এন্ড ল্যাঙ্গুয়েজ থেরাপিস্ট,Adora Child Development Care,Marketing/Sales,সিলেট,,
ফিজিওথেরাপিস্ট,Adora Child Development Care,Marketing/Sales,সিলেট,,
Accounts Officer,Flyamar.com Limited,Accounts/Finance,"Banani, Dhaka",,
Videographer,N Media,Design/Creative,Dhaka,,
Graphic Designer & Motion Artist,N Media,Design/Creative,Dhaka,,
Internship in Sales & Marketing,Siam City Cement Bangladesh Ltd,Marketing/Sales,Anywhere in Bangladesh,,
অফিস এসিসটেন্ট,Bangladesh Association for Sustainable Development (BASD),Marketing/Sales,ঢাকা,,
মার্কেটিং অফিসার,ICON Eye Hospital Ltd.,Marketing/Sales,"কামরাঙ্গীরচর, কেরানীগঞ্জ, ঢাকা",,
সহকারী পরিচালক (প্লান্টেশন এন্ড প্রোডাকশন),Bangladesh Rubber Board,Admin/General Management,,22000.00,53060.00
সহকারী পরিচালক (পরিকল্পনা বা উন্নয়ন),Bangladesh Rubber Board,Admin/General Management,,22000.00,53060.00
বৈজ্ঞানিক কর্মকর্তা (ক্লোন ডেভেলপমেন্ট এন্ড ক্রপ্ট ইমপ্রুভমেন্ট),Bangladesh Rubber Board,R&D (Research and Development),,22000.00,53060.00
বৈজ্ঞানিক কর্মকর্তা (সয়েল সাইন্স এন্ড এগ্রোনোমি),Bangladesh Rubber Board,R&D (Research and Development),,22000.00,53060.00
