name,price
Asus ROG Strix GeForce RTX 3060 OC Edition 12GB GDDR6 Gaming Graphics Card,<span>TBA</span>
ASUS ROG Strix Radeon RX 6700 XT OC Edition 12GB GDDR6 Gaming Graphics Card,<span>TBA</span>
MSI Radeon RX 6900 XT GAMING X TRIO 16GB Graphics Card,<span>TBA</span>
Asus ROG Strix GeForce RTX 3070 8GB GDDR6 Gaming Graphics Card,<span>TBA</span>
MSI Radeon RX 6900 XT 16GB GDDR6 Graphics Card,<span>TBA</span>
MSI Radeon RX 6900 XT Gaming X Trio 16GB GDDR6 Graphics Card,<span>TBA</span>
Gigabyte Aorus GeForce RTX 3080 Ti Xtreme 12GB GDDR6X Graphics Card,<span>TBA</span>
Zotac Gaming GeForce RTX 3070 AMP Holo LHR 8GB GDDR6 Graphics Card,<span>TBA</span>
Asus KO GeForce RTX 3060 TI V2 OC Edition 8GB GDDR6 Graphics Card,<span>TBA</span>
GIGABYTE Radeon RX 6800 XT GAMING OC 16GB GDDR6 Graphics Card,<span>TBA</span>
ZOTAC GAMING GeForce RTX 3060 Ti Twin Edge LHR 8GB Graphics Card,<span>TBA</span>
ASRock Radeon RX 6600 Challenger D 8GB GDDR6 Graphics Card,<span>TBA</span>
Asus GeForce GT 710 2GB DDR5 Graphics Card,<span>TBA</span>
MSI GeForce GT 730 2GB DDR3 Graphics Card,<span>TBA</span>
Sapphire Pulse Radeon RX 550 4GB GDDR5 Graphics Card,<span>TBA</span>
Sapphire Pulse Radeon RX 570 4GB GDDR5 HDMI DP Graphics card,<span>TBA</span>
MSI Radeon RX 570 ARMOR 4G OC GDDR5 Graphics Card,<span>TBA</span>
Sapphire Pulse Radeon RX 570 8GB GDDR5 Graphics Card,<span>TBA</span>
MSI Radeon RX 570 ARMOR 8G OC GDDR5 Graphics Card,<span>TBA</span>
MSI GeForce GTX 1650 Super Gaming X 4GB Graphics Card,<span>TBA</span>
MSI GeForce GTX 1050 Ti 4GT OCV1 4GB Graphics Card,"<span>26,000৳</span>"
MSI Radeon RX 5600 XT Gaming MX 6GB Graphics Card,<span>TBA</span>
Sapphire Pulse Radeon RX 5600 XT 6GB GDDR6 Graphics Card,<span>TBA</span>
MSI AMD Radeon RX 5700 MECH OC Gaming 8GB Graphics Card,<span>TBA</span>
MSI Radeon RX 5700 XT Gaming X 8GB Graphics Card,<span>TBA</span>
ASUS TUF Gaming X3 Radeon RX 5700 XT OC 8GB Graphics Card,<span>TBA</span>
